country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,4.64,,2.11,1.32,,,7.7,,,,1.49,,0.44,,1.41,0.27,0.16,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.47,,,,,8.18,,,,4.2,,,,,3.4,,,,3.06,,,
Canada,,,,,,,,,,,6.5,7,6.8,5.8,5.6,6.2,6.42,7.36,7.64,6.77,7.01,7.16,11.2,12.3,11.4,10.5,9.47,8.53,7.43,7.37,8.16,,12,11.9,10.9,9.8,,9.25,8.52,7.83,6.94,,8.13,7.94,7.48,7.01,6.52,6.38,6.57,9.54,8.79,,7.72,7.5,7.38,7.46,7.68,6.78
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.3,,,,,,,,,,,,,,,,,,,,,,,,,33.3,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,11.4,11.4,13.4,13.5,10.6,11.9,20.2,14.6,13,,8.34,,5.6,5,7.72,,4.61,,,6.28,,5.88,,10.1,,9.59,9.32,,8.55,7.64,,6.95,7.51,,7.45,,5.65,,6.34,,6.37,6.6
Colombia,,,,,,,,,,,,,,,,9.15,,7.8,,,7.5,,,9.1,10.8,10.7,10,8.24,,,,7.58,6.69,,5.28,6.75,9.44,9.82,12.5,17.2,16.9,12,12.6,11,10.7,9.1,9.1,8.74,8.87,9.37,8.64,7.91,7.55,7.07,6.72,6.36,6.78,6.87
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,,,,,,,,,,,,,4.36,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.51,,,,,,,5.32,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,,,,13.9,,,9.4,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,8.2,,,,,,,,,4.02,4.63,3.34,3.51,3.37,4.57,5.24,4.89,4.2,4.84,4.33,5.14,5.58,5.79,5.41,5.04,4.27,3.2,4.14,6.59,5.96,8.59,,,,,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,,,,,,,,,,,,,,7.13,3.55,,,2.08,
Croatia,,,,,,,,,,,,,,,,,,,,,,3.4,3.9,3.9,4.2,4.3,4.3,4.3,4.8,5,6.2,11.1,,14,,,,,15.6,17.2,,,,,,,,,7.04,7.92,11,,15.9,17.7,16.4,15.5,12.5,10.6
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45,4.86,4.73,4.42,4.29,3.81,3.13,2.56,1.71,1.65,1.8,1.73,1.74,1.35,1.47,2.37,2.97,3.37,3.13,2.4,,,
Cyprus,,,,,,,,,,,,,,,,11.3,8,3,1.7,1.5,1.6,2.4,2.4,2.9,2.9,2.9,2.9,2.7,2.2,1.7,1.4,2.2,,1.8,2,1.9,2.3,2.7,2.8,,,,,,,,3.86,3.39,3.18,5.27,6.13,,12.5,16.5,17,15,12.6,10.9
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,2.2,,,,,,,,,,,,,,,,,5.85,6.38,5.8,6.02,5.9,5.1,4.23,3.38,2.34
Denmark,,,,,,,,,,,,,,1.1,2.5,5.8,5.5,6.1,6.6,5.1,6.5,9.2,9.7,,,,,,,,,,,,,,,,,4.49,4.04,,,,,,,,,6.63,8.36,7.67,7.51,6.75,6.38,5.92,5.77,5.57
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.94,,9.85,,,,,,19.7,,13.1,,11.9,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,9.52,9.25,7.83,4.17,5.17,,,4.32,4.87,3.84,3.81,3.22,4.12,4.12,4.69,5.15,5.34,4.83,,,4.29
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25,5.14,5.76,,5.18,5.63,5.85,5.44,5.38,7.98,6.92,8.38,10.3,3.84,3.62,5.79,5.36,4.53,3.18,3.02,2.63,3.2,,,,,2.7,3.06,3,3.7,3.05
Egypt,,,,,,,,,,,,,,,,,,2.42,2.72,3.47,3.94,3.82,3.85,5.65,4.68,,,,,5.5,5.1,5.78,6.35,7.5,7.3,7.38,6.9,5.19,4.93,4.94,5.06,5.67,6.22,7.49,5.94,7.1,6.68,5.82,5.53,5.04,4.77,8.77,9.23,9.8,9.73,9.39,8.84,
El Salvador,,,,,,,,,,,,,,,,,,,,,11,,,,,12.4,7.48,,11,9.54,10.1,8.3,,11.8,8.45,8.69,8.38,9.52,7.94,8.15,9.05,8.11,7.44,8.32,7.78,8.87,,,7.46,9.03,5.42,4.93,4.23,3.96,4.91,4.37,4.83,4.65
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
