Crash Date,crashdate,MonthDay,dayofweek,year,month,day,week,TotalDeaths
9992008,,.,,,,,,1
1012006,1/1/06,101,Sunday,2006,1,1,2,133
1012007,1/1/07,101,Monday,2007,1,1,1,126
1012008,1/1/08,101,Tuesday,2008,1,1,1,96
1012009,1/1/09,101,Thursday,2009,1,1,1,112
1012010,1/1/10,101,Friday,2010,1,1,1,120
1012011,1/1/11,101,Saturday,2011,1,1,1,125
1012012,1/1/12,101,Sunday,2012,1,1,2,134
1012013,1/1/13,101,Tuesday,2013,1,1,1,85
1012014,1/1/14,101,Wednesday,2014,1,1,1,111
1012015,1/1/15,101,Thursday,2015,1,1,1,113
1012016,1/1/16,101,Friday,2016,1,1,1,103
1022006,1/2/06,102,Monday,2006,1,2,2,92
1022007,1/2/07,102,Tuesday,2007,1,2,1,81
1022008,1/2/08,102,Wednesday,2008,1,2,1,59
1022009,1/2/09,102,Friday,2009,1,2,1,89
1022010,1/2/10,102,Saturday,2010,1,2,1,58
1022011,1/2/11,102,Sunday,2011,1,2,2,55
1022012,1/2/12,102,Monday,2012,1,2,2,71
1022013,1/2/13,102,Wednesday,2013,1,2,1,55
1022014,1/2/14,102,Thursday,2014,1,2,1,82
1022015,1/2/15,102,Friday,2015,1,2,1,71
1022016,1/2/16,102,Saturday,2016,1,2,1,74
1032006,1/3/06,103,Tuesday,2006,1,3,2,96
1032007,1/3/07,103,Wednesday,2007,1,3,1,94
1032008,1/3/08,103,Thursday,2008,1,3,1,66
1032009,1/3/09,103,Saturday,2009,1,3,1,127
1032010,1/3/10,103,Sunday,2010,1,3,2,49
1032011,1/3/11,103,Monday,2011,1,3,2,78
1032012,1/3/12,103,Tuesday,2012,1,3,2,68
1032013,1/3/13,103,Thursday,2013,1,3,1,87
1032014,1/3/14,103,Friday,2014,1,3,1,74
1032015,1/3/15,103,Saturday,2015,1,3,1,104
1032016,1/3/16,103,Sunday,2016,1,3,2,83
1042006,1/4/06,104,Wednesday,2006,1,4,2,89
1042007,1/4/07,104,Thursday,2007,1,4,1,86
1042008,1/4/08,104,Friday,2008,1,4,1,102
1042009,1/4/09,104,Sunday,2009,1,4,2,89
1042010,1/4/10,104,Monday,2010,1,4,2,64
1042011,1/4/11,104,Tuesday,2011,1,4,2,75
1042012,1/4/12,104,Wednesday,2012,1,4,2,90
1042013,1/4/13,104,Friday,2013,1,4,1,75
1042014,1/4/14,104,Saturday,2014,1,4,1,70
1042015,1/4/15,104,Sunday,2015,1,4,2,57
1042016,1/4/16,104,Monday,2016,1,4,2,88
1052006,1/5/06,105,Thursday,2006,1,5,2,82
1052007,1/5/07,105,Friday,2007,1,5,1,132
1052008,1/5/08,105,Saturday,2008,1,5,1,82
1052009,1/5/09,105,Monday,2009,1,5,2,70
1052010,1/5/10,105,Tuesday,2010,1,5,2,65
1052011,1/5/11,105,Wednesday,2011,1,5,2,69
1052012,1/5/12,105,Thursday,2012,1,5,2,73
1052013,1/5/13,105,Saturday,2013,1,5,1,62
1052014,1/5/14,105,Sunday,2014,1,5,2,66
1052015,1/5/15,105,Monday,2015,1,5,2,87
1052016,1/5/16,105,Tuesday,2016,1,5,2,48
1062006,1/6/06,106,Friday,2006,1,6,2,89
1062007,1/6/07,106,Saturday,2007,1,6,1,124
1062008,1/6/08,106,Sunday,2008,1,6,2,93
1062009,1/6/09,106,Tuesday,2009,1,6,2,82
1062010,1/6/10,106,Wednesday,2010,1,6,2,49
1062011,1/6/11,106,Thursday,2011,1,6,2,55
1062012,1/6/12,106,Friday,2012,1,6,2,115
1062013,1/6/13,106,Sunday,2013,1,6,2,75
1062014,1/6/14,106,Monday,2014,1,6,2,55
1062015,1/6/15,106,Tuesday,2015,1,6,2,84
1062016,1/6/16,106,Wednesday,2016,1,6,2,81
1072006,1/7/06,107,Saturday,2006,1,7,2,110
1072007,1/7/07,107,Sunday,2007,1,7,2,99
1072008,1/7/08,107,Monday,2008,1,7,2,72
1072009,1/7/09,107,Wednesday,2009,1,7,2,76
1072010,1/7/10,107,Thursday,2010,1,7,2,76
1072011,1/7/11,107,Friday,2011,1,7,2,76
1072012,1/7/12,107,Saturday,2012,1,7,2,111
1072013,1/7/13,107,Monday,2013,1,7,2,64
1072014,1/7/14,107,Tuesday,2014,1,7,2,52
1072015,1/7/15,107,Wednesday,2015,1,7,2,60
1072016,1/7/16,107,Thursday,2016,1,7,2,67
1082006,1/8/06,108,Sunday,2006,1,8,3,91
1082007,1/8/07,108,Monday,2007,1,8,2,78
1082008,1/8/08,108,Tuesday,2008,1,8,2,73
1082009,1/8/09,108,Thursday,2009,1,8,2,57
1082010,1/8/10,108,Friday,2010,1,8,2,60
1082011,1/8/11,108,Saturday,2011,1,8,2,65
1082012,1/8/12,108,Sunday,2012,1,8,3,86
1082013,1/8/13,108,Tuesday,2013,1,8,2,83
1082014,1/8/14,108,Wednesday,2014,1,8,2,77
1082015,1/8/15,108,Thursday,2015,1,8,2,62
1082016,1/8/16,108,Friday,2016,1,8,2,102
1092006,1/9/06,109,Monday,2006,1,9,3,95
1092007,1/9/07,109,Tuesday,2007,1,9,2,78
1092008,1/9/08,109,Wednesday,2008,1,9,2,81
1092009,1/9/09,109,Friday,2009,1,9,2,108
1092010,1/9/10,109,Saturday,2010,1,9,2,78
1092011,1/9/11,109,Sunday,2011,1,9,3,83
1092012,1/9/12,109,Monday,2012,1,9,3,76
1092013,1/9/13,109,Wednesday,2013,1,9,2,101
1092014,1/9/14,109,Thursday,2014,1,9,2,74
1092015,1/9/15,109,Friday,2015,1,9,2,117
1092016,1/9/16,109,Saturday,2016,1,9,2,94
1102006,1/10/06,110,Tuesday,2006,1,10,3,85
